WORD		SYNONYM-1	SYNONYM-2	SYNONYM-3	SYNONYM-4	ANTONYM-1	ANTONYM-2	FigureOfSpeech
abaft		aft		    astern		    back		behind		before		ahead		preposition
adroit		apt		    dextrous		expert		skillful		clumsy		inept		adjective
affray		bawl		conflict	disturbance	feud		agreement		harmony		nun
amazing		incredible  unbelievable	improbable	astonishing	unimpressive	unalarming	adjective
anger		enrage	                infuriate		arouse		nettle		bless		happy		noun
angry		wrathful	                furious		enraged		indignant		unangry		unshaded		adjective
answer		reply    	                respond		retort		acknowledge	displease		uselessness	noun
around		about		approximately	generally		nearly		precisely		exactly		adverb
ask		question	                inquire		query		interrogate	answer 		reply		verb
astute		encourage		cunning		deep		shrewd		innocent		ignorant		adjective
awful		dreadful	                terrible		abominable	unpleasant		wonderful		pleasant		adjective
bad		depraved	                rotten		contaminated	sinful		good 		great		adjective
beautiful		gorgeous	                dazzling		splendid		magnificent	ugly		unpleasant		adjective
begin		start	                open		launch		initiate		finiish		complete		verb
big		enormous               	huge		immense		gigantic		small		tiny		adjective
billet		allot		assign		distribute		apportion		forget		unsettle		verb
bluster		boast		brag		bully		domineer		quiet		hush		verb
bourn		border		boundary		confine		limit		endless		unbounded	noun	
brave		courageous	fearless		dauntless		intrepid		cowardly		timid		adjective
break		fracture	                wreck		crash		demolish		repair		reconstruct	verb
bright		sparkling	                shimmering	radiant		vivid		dim 		faint		adjective
bulwark		barrier		parapet		wall		safegaurd		harm		hurt		noun
calm		quiet	                peaceful		unruffled		tranquil		turbulent 		chaotic		adjective
censure		abuse		blame		chide		condemn		approval		praise		verb
chasm		cavity		cleft		fissure		gap		solid		closure		noun
cloy		glut		sate		satiate		surfeit		deplete		deprive		verb
come		approach	                advance		near		arrive		leave		depart		verb
conduit		canal		channel		duct		passage		veto		denial		noun
cool		chilly	                cold		frosty		frigid		heated 		tropical		adjective
crooked		beangernt	                twisted		zigzag		hooked		straight 		moral		adjective
cry		weep	                wail		sob		bawl		laugh 		chuckle		noun	
cumber		burden		embarrass		oppress		impede		honour		support		verb
cut		slice	                carve		cleave		slit		stitch		mend		verb
dangerous		perilous		hazardous		risky		uncertain		safe		harmless		adjective
